Title: Mapping the Diffuse Ultraviolet Sky with GALEX
Authors: Murthy J., Henry R.C., Sujatha N.V.
Table: Diffuse Flux Observed by GALEX
================================================================================
Byte-by-byte Description of file: apj370277t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  6 F6.2   deg   GLON   Galactic longitude
   8- 13 F6.2   deg   GLAT   Galactic latitude 
  15- 21 F7.2   ---   TFUV   Total FUV band flux (1)
  23- 29 F7.2   ---   TNUV   Total NUV band flux (1)
  31- 37 F7.2   ---   FUV    FUV band flux (1)
  39- 45 F7.2   ---   NUV    NUV band flux (1)
--------------------------------------------------------------------------------
Note (1): In units of ph/cm^2^/s/sr/Angstroms.
--------------------------------------------------------------------------------
 83.27  44.63  594.05  985.56  352.65  360.63 
 86.85  43.93  620.28 1005.35  370.13  370.76 
 85.55  43.06  642.61 1065.58  360.61  400.51 
144.42  52.8   388.53  985.78  263.6   319.84 
148.65  51.14  415.71  993.74  305.59  323.91 
323.91 -73.88  459.84 1100.1   191.7   272.12 
247.27 -49.38  485.59  935.45  242.66  294.99 
 67.55  71.73  518.28 1017.61  324.43  353.59 
 63.27  63.65  418.54  962.55  329.48  365.94 
150.16  53.05  493.33 1103.01  424.67  484.91 
154.09  51.7   296.96  954.38  219.09  327.14 
150.16  53.05  409.21 1043.64  313.86  429.74 
343.47 -63.72  357.42 1054.39  274.49  303.21 
 65.58  42.94  534.02 1064.93  319.56  409.67 
311.68 -73.41  345.89  975.88  281.62  353.2  
 54.26  67.64  460.21  952.22  328.25  336.78 
 96.24  59.52  518.77 1082.79  297.99  446.51 
 76.93  66.01  446.06  924.69  230.87  277.41 
259.11 -47.87  502.91  952.01  341.46  392.48 
 85.28  72.84  374.01  947.06  256.13  280.69 
146.3   47.2    -1.    959.32   -1.    274.97 
146.3   47.2   722.28 1215.93  552.86  558.58 
292.12 -69.76  419.21  976.31  259.34  265.54 
171.02  52.77  339.12 1058.05  280.96  292.21 
148.85  52.84  372.49 1035.25  158.17  353.77 
340.82 -62.46  383.1  1102.15  293.99  354.13 
 62.58  43.23  452.52  919.74  249.23  261.83 
 86.63  42.6   638.46 1101.93  330.48  415.13 
324.06 -74.89  445.87 1088.81  186.59  259.27 
152.3   53.37   -1.   1163.45   -1.    484.9  
149.44  51.47  386.27  984.49  173.34  176.05 
 94.2   74.12  369.25  934.16  253.61  255.79 
163.4   47.79  381.57 1074.08  302.74  325.55 
306.71 -71.98  396.95 1013.1   326.38  402.79 
339.73 -64.14  349.98 1010.3   255.19  258.72 
120.28  65.29  394.14  953.51  283.84  340.57 
149.98  48.47  391.58  976.53  253.86  258.74 
344.99 -57.58  405.79 1079.99  368.05  410.42 
149.98  48.47   -1.    932.87   -1.    218.01 
159.55  51.98  390.24 1025.79  324.44  377.8  
 86.89  67.88  468.08  933.94  237.    260.94 
 64.74  47.24  560.98 1068.16  428.33  522.12 
235.14 -52.68  502.3   968.36  275.75  306.29 
248.64 -48.96  494.74  930.93  249.65  290.45 
241.54 -50.79  678.11 1373.59  446.45  730.1  
