Title: The Mystery of the Cosmic Diffuse Ultraviolet Background Radiation 
Authors: Henry R.C., Murthy J., Overduin J., Tyler J.
Table: The Two Dynamics Explorer FUV Scans (Fix, Craven & Frank 1989)
================================================================================
Byte-by-byte Description of file: apj504185t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units              Label  Explanations
--------------------------------------------------------------------------------
       1 I1     ---                Scan   Scan number
   3-  6 I4     ---                Num    Source number
   8- 13 F6.2   deg                GLON   Galactic longitude
  15- 20 F6.2   deg                GLAT   Galactic latitude
  22- 26 I5     ph/cm/s/sr/0.1nm   Flux   Observed photon flux (1)
  28- 31 I4     ph/cm/s/sr/0.1nm e_Flux   Uncertainty in Flu (1)
--------------------------------------------------------------------------------
Note (1): In "Photon Units" which is photons cm^-2^ s^-1^ sr^-1^ Angstrom^-1^.
--------------------------------------------------------------------------------
1  155 291.78  -9.76  5188  814 
1  156 292.35 -10.77  5081  748 
1  157 292.46 -10.98  4952  746 
1  158 292.57 -11.18  4804  752 
1  159 292.70 -11.39  4833  769 
1  160 292.81 -11.59  5505  789 
1  161 292.92 -11.79  6344  841 
1  162 293.04 -11.99  5300  771 
1  163 293.15 -12.19  5362 1095 
1  164 293.26 -12.39  5399  873 
1  165 293.39 -12.60  5165  814 
1  166 293.50 -12.80  3638  670 
1  167 293.62 -13.00  6344  879 
1  168 293.73 -13.20  7045  920 
1  169 293.85 -13.40  4431  756 
1  170 293.96 -13.60  5011  826 
1  171 294.09 -13.81  4956  797 
1  172 294.20 -14.01  4331  742 
1  173 294.32 -14.21  6205  869 
1  174 294.43 -14.41  6412  888 
1  175 294.55 -14.61  3812  715 
1  176 294.67 -14.81  5013  806 
1  177 294.79 -15.02  2367  599 
1  178 294.91 -15.22  3701  715 
1  179 295.03 -15.42  3031  707 
1  180 295.14 -15.62  3681  744 
1  181 295.26 -15.82  2369  611 
1  182 295.38 -16.02  2148  664 
1  183 295.50 -16.23  4446  793 
1  184 295.62 -16.43  2588  640 
1  185 295.74 -16.63  2121  599 
1  186 295.86 -16.83  2674  656 
1  187 295.98 -17.03  2713  664 
1  188 296.10 -17.23  1969  679 
1  189 296.23 -17.44  4300  834 
1  190 296.35 -17.64  3527  845 
1  191 296.47 -17.84  2597  748 
1  192 296.59 -18.04  2783  720 
1  193 296.71 -18.24  4382 1029 
1  194 296.83 -18.43  2422  691 
1  195 296.96 -18.64  3468  767 
1  196 297.08 -18.84  1916  613 
1  197 297.20 -19.04  3566  785 
1  198 297.33 -19.24  3171  781 
1  199 297.45 -19.44  3056  775 
1  200 298.32 -20.83  1695  597 
1  201 298.83 -21.63  3511  763 
1  202 298.96 -21.83  2990  705 
1  203 299.09 -22.03  3263  742 
1  204 299.22 -22.23  2365  621 
1  205 299.35 -22.43  2881  705 
1  206 299.48 -22.63  2064  599 
1  207 299.61 -22.83  1729  554 
1  208 299.74 -23.02  1772  525 
1  209 299.87 -23.22  2133  574 
1  210 300.00 -23.42  1731  527 
1  211 300.13 -23.62  2178  541 
1  212 300.92 -24.80  1604  467 
1  213 301.06 -24.99  1900  472 
1  214 301.20 -25.20  1588  439 
1  215 301.33 -25.39  1959  467 
1  216 301.47 -25.59  1008  373 
1  217 301.61 -25.79  1768  455 
1  218 301.74 -25.98  1719  433 
1  219 302.16 -26.56  1067  361 
1  220 302.30 -26.75  1613  408 
1  221 302.45 -26.94  1215  367 
1  222 302.60 -27.14  1807  416 
1  223 302.73 -27.36  1969  424 
1  224 302.82 -27.56  1651  418 
1  225 302.92 -27.76  2344  465 
1  226 303.04 -27.97  2223  472 
1  227 303.18 -28.17  1793  398 
1  228 303.32 -28.37  1941  416 
1  229 303.61 -28.77  1430  359 
1  230 303.75 -28.96  1877  400 
1  231 303.89 -29.15  2430  482 
1  232 304.04 -29.35  1973  410 
1  233 304.18 -29.54  1362  353 
1  234 304.33 -29.73  1342  340 
1  235 304.48 -29.94  1541  353 
1  236 304.63 -30.13  1740  375 
1  237 304.78 -30.32  1006  305 
1  238 304.92 -30.51  1590  361 
1  239 305.07 -30.71  1354  349 
1  240 305.22 -30.90  1658  377 
1  241 305.37 -31.09  1744  359 
1  242 305.52 -31.28  1668  381 
1  243 305.67 -31.48  1754  379 
1  244 305.83 -31.67  1420  338 
