Title: The Mystery of the Cosmic Diffuse Ultraviolet Background Radiation 
Authors: Henry R.C., Murthy J., Overduin J., Tyler J.
Table: The Two Dynamics Explorer FUV Scans (Fix, Craven & Frank 1989)
================================================================================
Byte-by-byte Description of file: apj504185t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units              Label  Explanations
--------------------------------------------------------------------------------
       1 I1     ---                Scan   Scan number
   3-  6 I4     ---                Num    Source number
   8- 13 F6.2   deg                GLON   Galactic longitude
  15- 20 F6.2   deg                GLAT   Galactic latitude
  22- 26 I5     ph/cm/s/sr/0.1nm   Flux   Observed photon flux (1)
  28- 31 I4     ph/cm/s/sr/0.1nm e_Flux   Uncertainty in Flu (1)
--------------------------------------------------------------------------------
Note (1): In "Photon Units" which is photons cm^-2^ s^-1^ sr^-1^ Angstrom^-1^.
--------------------------------------------------------------------------------
1  645  82.26 -37.38   598  200 
1  646  82.44 -37.19  1084  251 
1  647  82.62 -37.01   780  216 
1  648  82.79 -36.82   780  212 
1  649  82.96 -36.64  1053  231 
1  650  83.13 -36.45   477  204 
1  651  83.30 -36.27  1022  245 
1  652  83.47 -36.07   840  224 
1  653  83.64 -35.89   356  179 
1  654  83.81 -35.70   417  190 
1  655  83.96 -35.51  1022  301 
1  656  84.13 -35.32   780  224 
1  657  84.29 -35.14   901  233 
1  658  84.46 -34.94   811  227 
1  659  84.62 -34.75  1233  245 
1  660  84.79 -34.57   538  200 
1  661  84.95 -34.38   749  210 
1  662  85.11 -34.19   991  227 
1  663  85.27 -34.00   780  220 
1  664  85.43 -33.81   932  239 
1  665  85.59 -33.62   963  233 
1  666  85.75 -33.43  1084  245 
1  667  85.91 -33.24   719  212 
1  668  86.06 -33.05  1143  241 
1  669  86.22 -32.86   629  206 
1  670  86.38 -32.66  1385  264 
1  671  86.53 -32.47  1264  340 
1  672  86.69 -32.28   780  212 
1  673  86.84 -32.09   538  200 
1  674  86.99 -31.90   569  202 
1  675  87.14 -31.71   749  218 
1  676  87.89 -30.74  1143  241 
1  677  88.04 -30.55  1233  245 
1  678  88.63 -29.78  1748  281 
1  679  88.78 -29.58   780  212 
1  680  88.92 -29.39   780  216 
1  681  89.07 -29.19  1082  233 
1  682  89.21 -29.00  1053  235 
1  683  89.36 -28.80   598  200 
1  684  89.50 -28.61  1112  239 
1  685  89.64 -28.42   811  218 
1  686  89.78 -28.22  1112  253 
1  687  89.93 -28.02   901  220 
1  688  90.07 -27.83   932  222 
1  689  90.21 -27.63  1143  326 
1  690  90.35 -27.44   690  210 
1  691  90.49 -27.25   749  210 
1  692  90.63 -27.04  1233  256 
1  693  90.77 -26.85   446  192 
1  694  90.91 -26.66  1082  241 
1  695  91.04 -26.46  1326  251 
1  696  91.17 -26.26   719  212 
1  697  91.31 -26.07  1174  239 
1  698  91.99 -25.08  1295  256 
1  699  92.12 -24.89  1446  258 
1  700  92.26 -24.68   749  218 
1  701  92.39 -24.49  1385  260 
1  702  92.53 -24.29  1295  249 
1  703  92.66 -24.09  1444  535 
1  704  92.79 -23.90   961  224 
1  705  92.92 -23.70   870  218 
1  706  93.06 -23.50  1717  279 
1  707  93.19 -23.30  1475  258 
1  708  93.32 -23.10  1354  253 
1  709  93.45 -22.91  1295  249 
1  710  93.57 -22.71  1112  243 
1  711  93.70 -22.51  1475  258 
1  712  93.84 -22.31  1475  262 
1  713  94.22 -21.71  1084  237 
1  714  94.35 -21.52  1688  277 
1  715  94.46 -21.31  1356  256 
1  716  94.60 -21.11  1385  255 
1  717  94.72 -20.91  1264  251 
1  718  94.85 -20.71  1112  239 
1  719  94.97 -20.51  1750  275 
1  720  95.10 -20.32  1809  287 
1  721  95.22 -20.12  1750  277 
1  722  95.35 -19.91  2023  297 
1  723  95.48 -19.71  1326  247 
1  724  95.60 -19.52  2355  312 
1  725  95.72 -19.32  2447  312 
1  726  95.85 -19.12  3113  342 
1  727  95.97 -18.92  2658  326 
1  728  96.10 -18.71  3507  359 
1  729  96.22 -18.51  3779  379 
1  730  96.34 -18.31  3810  377 
1  731  96.46 -18.12  3082  340 
1  732  96.58 -17.92  2629  318 
1  733  96.70 -17.72  3566  371 
1  734  96.83 -17.51  5022  414 
1  735  97.19 -16.91  3658  375 
1  736  97.31 -16.71  4111  385 
1  737  98.26 -15.09  3960  394 
1  738  98.38 -14.89  3144  340 
1  739  98.50 -14.69  2810  326 
1  740  98.61 -14.49  3931  381 
1  741  98.73 -14.29  3386  355 
1  742  98.85 -14.08  2902  328 
1  743  98.97 -13.88  3205  414 
1  744  99.08 -13.68  2264  308 
1  745  99.55 -12.87  2961  344 
1  746  99.67 -12.67  2871  330 
1  747 100.13 -11.87  3113  351 
1  748 100.25 -11.66  3447  363 
1  749 100.36 -11.46  2902  346 
1  750 100.47 -11.26  2902  334 
1  751 100.59 -11.06  3054  342 
1  752 101.27  -9.84  3326  349 
1  753 101.38  -9.64  2416  308 
1  754 101.49  -9.43  2992  340 
1  755 101.61  -9.22  2537  314 
1  756 101.72  -9.02  4417  410 
1  757 101.84  -8.82  3507  369 
1  758 102.17  -8.22  3568  363 
1  759 102.29  -8.01  3023  332 
1  760 102.74  -7.20  3234  353 
1  761 102.85  -6.99  3537  361 
1  762 102.96  -6.79  3265  349 
1  763 103.41  -5.98  3537  373 
1  764 103.52  -5.77  4294  404 
1  765 103.63  -5.57  5475  443 
1  766 103.74  -5.37  5081  422 
1  767 103.86  -5.16  4718  412 
1  768 103.97  -4.96  5536  433 
1  769 104.08  -4.76  5081  420 
1  770 104.19  -4.55  5171  418 
1  771 104.30  -4.35  4960  420 
1  772 104.41  -4.14  4536  400 
1  773 105.40  -2.32  3960  398 
1  774 105.52  -2.10  6082  455 
1  775 105.63  -1.90  5444  435 
1  776 105.74  -1.70  4626  402 
1  777 105.85  -1.50  6051  449 
1  778 106.18  -0.88  6051  455 
1  779 106.29  -0.68  4718  408 
1  780 106.40  -0.48  4749  410 
1  781 106.51  -0.28  5536  459 
1  782 106.62  -0.07  3628  363 
1  783 106.73   0.13  3749  375 
1  784 106.84   0.34  3265  359 
1  785 106.95   0.54  3810  373 
1  786 107.06   0.74  3476  357 
1  787 107.17   0.94  3658  377 
1  788 107.28   1.15  2810  334 
1  789 107.39   1.35  1781  277 
1  790 107.51   1.56  1781  277 
1  791 107.61   1.76  2385  316 
1  792 107.72   1.97  2264  308 
1  793 107.83   2.17  3203  344 
1  794 107.94   2.37  3505  361 
1  795 108.05   2.57  2810  326 
1  796 108.50   3.39  2931  336 
1  797 108.61   3.59  2506  316 
1  798 108.72   3.80  3263  342 
1  799 108.83   4.00  2838  328 
1  800 109.16   4.61  3535  357 
1  801 109.27   4.81  3535  363 
1  802 109.39   5.02  4353  402 
1  803 109.50   5.22  2689  320 
1  804 109.61   5.43  3355  355 
1  805 110.06   6.24  3900  377 
1  806 110.17   6.44  3384  351 
1  807 110.28   6.65  3294  355 
1  808 110.39   6.85  2748  324 
1  809 110.50   7.05  3142  346 
1  810 110.62   7.25  3505  357 
1  811 110.73   7.46  3232  353 
1  812 110.84   7.66  2687  324 
1  813 110.95   7.87  3080  361 
1  814 111.06   8.07  3626  371 
1  815 111.18   8.27  2959  332 
1  816 111.29   8.47  2990  334 
1  817 111.41   8.68  3263  349 
1  818 111.52   8.88  3263  346 
1  819 111.63   9.08  3142  351 
1  820 111.97   9.69  2629  322 
1  821 112.09   9.90  2478  320 
1  822 112.20  10.10  2568  318 
1  823 112.31  10.30  3082  420 
1  824 112.43  10.50  1811  275 
1  825 112.54  10.70  2326  301 
1  826 112.65  10.90  2113  291 
1  827 112.77  11.11  3507  363 
1  828 112.89  11.31  2689  338 
1  829 113.00  11.52  2205  310 
1  830 113.12  11.72  2115  297 
1  831 113.23  11.92  1781  277 
1  832 113.34  12.12  1811  277 
1  833 113.46  12.33  2115  293 
1  834 113.93  13.13  1719  283 
1  835 114.04  13.33  1871  281 
1  836 114.16  13.54  2174  293 
1  837 114.28  13.74  1992  297 
1  838 114.39  13.94  1902  279 
1  839 114.51  14.14  1840  279 
1  840 114.63  14.34  1326  251 
1  841 114.75  14.55  1748  277 
1  842 115.22  15.35  1356  253 
1  843 115.70  16.16  1871  285 
1  844 115.82  16.36  1537  283 
1  845 115.94  16.56  1477  262 
1  846 116.42  17.36  1598  273 
1  847 116.54  17.56   963  241 
1  848 116.66  17.76  1416  271 
1  849 116.79  17.96  1961  549 
1  850 116.91  18.17   690  214 
1  851 117.03  18.37  1205  255 
1  852 117.52  19.16  1326  251 
1  853 117.65  19.37  1084  245 
1  854 117.77  19.57   991  235 
1  855 117.90  19.76  1508  264 
1  856 118.02  19.96  2174  305 
1  857 118.15  20.16  1053  243 
1  858 118.27  20.36  1356  256 
1  859 118.40  20.57  1022  233 
1  860 118.53  20.76  1598  269 
1  861 118.65  20.96   780  216 
1  862 118.78  21.16   749  214 
1  863 118.91  21.36   963  224 
1  864 119.03  21.55   901  220 
1  865 119.17  21.76   870  222 
1  866 119.29  21.96  1235  273 
1  867 119.42  22.15   901  224 
1  868 119.55  22.35   870  222 
1  869 119.68  22.55   811  218 
1  870 119.81  22.74   811  214 
1  871 119.94  22.95   811  218 
1  872 120.07  23.15  1053  253 
1  873 120.20  23.34   842  216 
1  874 120.33  23.54   598  204 
1  875 120.46  23.74  1205  247 
1  876 120.60  23.94  1053  235 
1  877 120.73  24.14   870  227 
1  878 120.87  24.33   508  192 
1  879 121.00  24.53   659  212 
1  880 121.67  25.51  1112  247 
1  881 121.81  25.71   901  229 
1  882 121.95  25.90  1264  531 
1  883 122.09  26.10   840  237 
1  884 122.23  26.30  1295  334 
1  885 122.37  26.49   901  224 
1  886 122.51  26.68  1022  233 
1  887 122.67  26.87   840  216 
1  888 122.88  27.07   629  202 
1  889 123.00  27.40   991  227 
1  890 122.97  27.49   840  220 
1  891 123.10  27.71  1022  229 
1  892 123.24  27.91  1084  241 
1  893 123.39  28.10  1053  235 
1  894 123.53  28.30  1022  237 
1  895 123.67  28.49   870  218 
1  896 123.82  28.69   629  202 
1  897 123.96  28.88   901  224 
1  898 124.11  29.08   719  216 
1  899 124.25  29.27   811  231 
1  900 124.40  29.46   811  214 
1  901 124.54  29.65   567  196 
1  902 124.69  29.85   598  204 
1  903 124.84  30.05   567  196 
1  904 124.99  30.24  1416  267 
1  905 125.14  30.43   629  202 
1  906 125.28  30.62   870  231 
1  907 125.43  30.81   991  227 
1  908 125.59  31.01   719  212 
1  909 125.74  31.20   749  210 
1  910 125.89  31.39   719  212 
1  911 126.04  31.58  1235  247 
1  912 126.19  31.77   749  210 
1  913 126.34  31.97   932  231 
1  914 126.50  32.16   719  216 
1  915 126.66  32.35   780  212 
1  916 126.81  32.54   749  227 
1  917 126.96  32.73   870  322 
1  918 127.12  32.92   811  222 
1  919 127.28  33.11   963  237 
1  920 127.44  33.31   870  222 
1  921 127.60  33.50   932  231 
1  922 127.75  33.69   598  229 
1  923 127.91  33.87   901  237 
1  924 128.07  34.06   870  218 
1  925 128.23  34.25   719  216 
1  926 128.40  34.45   598  204 
1  927 128.56  34.63   387  188 
1  928 128.73  34.82   387  192 
1  929 129.39  35.58   780  216 
1  930 129.56  35.76   659  208 
1  931 129.72  35.95   991  239 
1  932 129.89  36.13   961  247 
1  933 130.06  36.32   688  210 
1  934 130.24  36.51   870  222 
1  935 130.41  36.70   719  216 
1  936 130.58  36.88   659  208 
1  937 130.75  37.07   477  194 
1  938 130.92  37.25   657  204 
1  939 131.63  37.99   719  208 
1  940 131.81  38.18  1233  267 
1  941 131.99  38.36   840  216 
1  942 132.16  38.54   749  214 
1  943 132.35  38.73   629  206 
1  944 132.53  38.91   749  210 
1  945 132.72  39.09   749  243 
1  946 132.90  39.28   629  202 
1  947 133.08  39.46  1051  523 
1  948 133.26  39.64   598  204 
1  949 133.46  39.83  1264  251 
1  950 133.64  40.01  1143  241 
1  951 133.83  40.19   567  202 
1  952 134.02  40.37   930  227 
1  953 134.21  40.54  1082  233 
1  954 134.40  40.72   901  224 
1  955 134.60  40.91  1172  256 
1  956 134.79  41.09  1203  241 
1  957 134.99  41.27   778  224 
1  958 135.18  41.44   901  224 
1  959 135.38  41.62   991  231 
1  960 135.58  41.80  1051  235 
1  961 135.78  41.98   778  216 
1  962 135.98  42.16   477  194 
1  963 136.18  42.33   657  204 
1  964 136.38  42.51   870  222 
1  965 136.58  42.69   749  214 
1  966 136.79  42.86   688  210 
1  967 137.00  43.04   477  208 
1  968 137.21  43.22   536  224 
1  969 137.42  43.39   870  235 
1  970 137.62  43.56   688  214 
1  971 137.83  43.74  1537  541 
1  972 138.05  43.91   657  220 
1  973 138.27  44.09   749  210 
1  974 138.48  44.26   387  181 
1  975 138.69  44.43   629  202 
1  976 138.91  44.60   719  224 
1  977 139.13  44.77   598  204 
1  978 139.35  44.95   387  181 
1  979 139.57  45.12   809  235 
1  980 139.80  45.29  1051  523 
1  981 140.02  45.46   508  247 
1  982 140.24  45.63   477  190 
1  983 140.46  45.80   991  322 
1  984 140.70  45.97   387  188 
1  985 140.93  46.14   325  210 
1  986 141.16  46.30   688  222 
1  987 141.39  46.47   536  200 
1  988 141.62  46.63   598  212 
1  989 141.86  46.80  1022  245 
1  990 142.10  46.97   536  212 
1  991 142.34  47.14  1537  543 
1  992 142.57  47.30   567  196 
1  993 142.82  47.46   415  186 
1  994 143.06  47.62   749  222 
1  995 143.30  47.79   930  247 
1  996 143.55  47.96   446  196 
1  997 143.80  48.12   688  210 
1  998 144.05  48.28  1022  245 
1  999 144.29  48.44   870  227 
1 1000 144.54  48.60   778  241 
1 1001 144.79  48.76   840  220 
1 1002 145.06  48.92   143  161 
1 1003 145.31  49.08  1051  525 
1 1004 145.57  49.24   477  200 
1 1005 145.83  49.39  1143  525 
1 1006 146.09  49.55   477  190 
1 1007 146.35  49.71   598  212 
1 1008 146.62  49.87   387  181 
1 1009 146.89  50.02   446  188 
1 1010 147.16  50.17   901  233 
1 1011 147.43  50.33   477  194 
1 1012 147.70  50.48   508  299 
1 1013 147.97  50.63   991  523 
1 1014 148.25  50.79   659  208 
1 1015 148.53  50.94   629  206 
1 1016 148.80  51.09   446  192 
1 1017 149.09  51.24   629  210 
1 1018 149.37  51.39   629  214 
1 1019 149.65  51.54   870  231 
1 1020 149.95  51.69   477  190 
1 1021 150.23  51.84   415  194 
1 1022 150.52  51.98   536  204 
1 1023 150.81  52.13  1051  243 
1 1024 151.10  52.27   719  212 
1 1025 151.41  52.42   325  177 
1 1026 151.71  52.56   508  196 
1 1027 152.00  52.71   657  216 
1 1028 152.30  52.85   446  202 
1 1029 152.61  52.99   387  181 
1 1030 152.91  53.13   657  208 
1 1031 153.23  53.27   446  206 
1 1032 153.53  53.41   477  194 
1 1033 153.85  53.55   598  204 
1 1034 154.16  53.68  1020  233 
1 1035 154.47  53.82   385  210 
1 1036 154.79  53.96  1506  713 
1 1037 155.12  54.10   446  192 
1 1038 155.44  54.23   778  216 
1 1039 155.76  54.36  1203  529 
1 1040 156.09  54.49   508  206 
1 1041 156.42  54.62   778  220 
1 1042 156.74  54.75  1020  324 
1 1043 157.09  54.89   899  220 
1 1044 157.42  55.01   325  188 
1 1045 157.76  55.14   294  186 
1 1046 158.09  55.27   446  192 
1 1047 158.43  55.39   598  204 
1 1048 158.77  55.52   747  214 
1 1049 159.13  55.65   567  196 
1 1050 159.47  55.77   629  206 
1 1051 160.53  56.13   657  204 
1 1052 160.88  56.25   567  210 
1 1053 161.25  56.37  1022  525 
1 1054 161.61  56.49   143  161 
1 1055 161.97  56.60   506  196 
1 1056 162.34  56.72   598  204 
1 1057 162.70  56.83   870  222 
1 1058 163.07  56.94  1022  324 
1 1059 163.46  57.05   840  224 
1 1060 163.83  57.16   930  231 
1 1061 164.21  57.27   749  222 
1 1062 164.58  57.38   477  200 
1 1063 164.96  57.49   899  224 
1 1064 165.34  57.59   780  212 
1 1065 165.74  57.70   536  204 
1 1066 166.13  57.81   809  218 
1 1067 166.51  57.91   508  192 
1 1068 166.90  58.01  1022  233 
1 1069 167.29  58.11   508  202 
1 1070 167.69  58.21  1203  247 
1 1071 168.51  58.40  1143  247 
1 1072 168.91  58.49   719  208 
1 1073 169.31  58.59  1112  529 
1 1074 169.71  58.68   870  222 
1 1075 170.14  58.77   235  169 
1 1076 170.55  58.86   780  216 
1 1077 170.96  58.95   688  214 
1 1078 171.37  59.04   173  175 
1 1079 171.79  59.13   659  208 
1 1080 172.20  59.21   659  212 
1 1081 172.64  59.30   659  204 
1 1082 173.07  59.37   446  192 
1 1083 173.49  59.45   598  301 
1 1084 173.92  59.53   446  188 
1 1085 174.35  59.61   567  206 
1 1086 174.77  59.68   629  214 
1 1087 175.22  59.76   508  202 
1 1088 175.66  59.84   266  171 
1 1089 176.09  59.91   508  303 
1 1090 176.53  59.98   477  204 
1 1091 176.97  60.05   901  220 
1 1092 177.41  60.11   629  206 
1 1093 177.87  60.18   598  204 
1 1094 178.32  60.25   809  314 
1 1095 178.77  60.30   356  186 
1 1096 179.22  60.36   688  214 
1 1097 179.66  60.42   688  218 
1 1098 180.12  60.48  1174  249 
1 1099 180.59  60.54   629  210 
1 1100 181.04  60.60   508  196 
1 1101 181.50  60.65   598  208 
1 1102 181.96  60.70   598  204 
1 1103 182.42  60.75   719  224 
1 1104 182.88  60.80   659  212 
1 1105 183.36  60.85   598  200 
1 1106 183.82  60.90   932  231 
1 1107 184.28  60.94   719  220 
1 1108 184.75  60.98   567  202 
1 1109 185.22  61.02   961  224 
1 1110 185.69  61.06   901  237 
1 1111 186.18  61.09   870  227 
1 1112 186.65  61.13   719  212 
1 1113 187.12  61.16   356  179 
1 1114 187.59  61.20   387  181 
1 1115 188.06  61.23   659  204 
1 1116 188.54  61.26   719  216 
1 1117 189.03  61.29   356  190 
1 1118 189.51  61.31   598  200 
1 1119 189.99  61.34   840  220 
1 1120 190.46  61.36   780  220 
1 1121 190.94  61.38   932  249 
1 1122 191.42  61.40   780  224 
1 1123 191.92  61.42   446  192 
1 1124 192.40  61.43   415  194 
1 1125 192.88  61.44   629  202 
1 1126 193.36  61.45   536  194 
1 1127 193.84  61.46   598  216 
1 1128 194.35  61.47   446  188 
1 1129 194.83  61.48   356  186 
1 1130 195.31  61.49   446  202 
1 1131 195.79  61.49   415  194 
1 1132 196.27  61.49   446  192 
1 1133 196.75  61.49   508  227 
1 1134 197.26  61.49   567  202 
1 1135 197.74  61.49   840  517 
1 1136 198.22  61.48   567  196 
1 1137 198.70  61.48  1082  245 
1 1138 199.18  61.47   659  204 
1 1139 200.65  61.42   961  224 
1 1140 201.12  61.41   477  194 
1 1141 201.60  61.39   508  196 
1 1142 202.08  61.37   567  202 
1 1143 202.56  61.35   477  190 
1 1144 203.06  61.33   567  196 
1 1145 203.54  61.31   294  175 
1 1146 204.01  61.28   659  204 
1 1147 204.49  61.26   387  188 
1 1148 204.96  61.23   598  200 
1 1149 205.44  61.20   719  208 
1 1150 205.93  61.17   780  224 
1 1151 206.40  61.13   719  212 
1 1152 206.87  61.10   536  194 
1 1153 207.34  61.06  1022  241 
1 1154 207.81  61.02   629  214 
1 1155 208.28  60.98   508  206 
1 1156 208.76  60.93   688  308 
1 1157 209.22  60.89   688  206 
1 1158 209.69  60.84   659  204 
1 1159 210.15  60.79   719  212 
1 1160 210.61  60.75   961  255 
1 1161 211.07  60.70   809  222 
1 1162 211.55  60.64   446  192 
1 1163 212.00  60.59  1264  531 
1 1164 212.46  60.54   961  281 
1 1165 212.91  60.48   508  192 
1 1166 213.36  60.42   567  196 
1 1167 213.81  60.36   901  237 
1 1168 214.28  60.30   417  194 
1 1169 214.73  60.24   659  208 
1 1170 215.17  60.18   963  249 
1 1171 215.61  60.11   659  204 
1 1172 216.06  60.04  1387  255 
1 1173 216.95  59.90   932  222 
1 1174 217.38  59.82   477  190 
1 1175 217.82  59.75   688  210 
1 1176 219.13  59.52   508  196 
1 1177 219.55  59.45   749  210 
1 1178 219.98  59.37   387  188 
1 1179 220.40  59.29   567  196 
1 1180 220.82  59.20   780  220 
1 1181 221.24  59.12   780  216 
1 1182 222.50  58.86   901  229 
1 1183 222.91  58.77   719  208 
1 1184 223.31  58.68   780  220 
1 1185 223.72  58.59  1082  525 
1 1186 224.13  58.48   961  224 
1 1187 224.53  58.39   840  216 
1 1188 225.33  58.20   508  206 
1 1189 225.72  58.10   811  239 
1 1190 226.12  58.00   811  214 
1 1191 226.52  57.90   840  220 
1 1192 226.91  57.79   901  224 
1 1193 227.30  57.69   719  251 
1 1194 227.68  57.59   840  220 
1 1195 228.06  57.48   749  218 
1 1196 228.44  57.38   538  200 
1 1197 228.83  57.27   780  216 
1 1198 229.21  57.16   780  220 
1 1199 229.58  57.05  1053  334 
1 1200 229.95  56.94   688  206 
1 1201 230.32  56.83   536  194 
1 1202 230.69  56.71   688  210 
1 1203 231.06  56.59   508  192 
1 1204 231.42  56.47   780  220 
1 1205 231.78  56.36  1143  241 
1 1206 232.13  56.24   932  231 
1 1207 232.49  56.12   325  188 
1 1208 232.84  56.00   415  190 
1 1209 233.21  55.88   536  204 
1 1210 233.56  55.76   991  231 
1 1211 233.90  55.63   780  212 
1 1212 234.25  55.51   870  222 
1 1213 234.59  55.39   809  218 
1 1214 234.93  55.26  1051  231 
1 1215 235.28  55.13   901  233 
1 1216 235.61  55.00   659  204 
1 1217 235.95  54.88   840  245 
1 1218 236.28  54.75   688  210 
1 1219 236.61  54.62   991  239 
1 1220 236.95  54.48   840  220 
1 1221 237.26  54.34   688  214 
1 1222 237.59  54.21   356  186 
1 1223 237.91  54.08   991  231 
1 1224 238.22  53.95   991  235 
1 1225 238.54  53.81   629  202 
1 1226 238.87  53.67   598  200 
1 1227 239.18  53.53   508  192 
1 1228 239.49  53.40   446  202 
1 1229 239.80  53.26   961  233 
1 1230 240.11  53.12   840  224 
1 1231 240.41  52.98   930  239 
1 1232 240.73  52.83  1416  262 
1 1233 241.03  52.69   991  227 
1 1234 241.32  52.55   629  301 
1 1235 241.62  52.41   930  227 
1 1236 241.92  52.27   567  196 
1 1237 242.21  52.12  1022  241 
1 1238 242.51  51.97   446  188 
1 1239 242.79  51.82   536  204 
1 1240 243.08  51.67   780  233 
1 1241 243.36  51.52   688  214 
1 1242 243.65  51.38   264  171 
1 1243 243.93  51.23   961  229 
1 1244 244.22  51.07   657  216 
1 1245 244.50  50.92   688  206 
1 1246 244.77  50.77   809  218 
1 1247 245.05  50.62   629  206 
1 1248 245.32  50.47   598  204 
1 1249 245.59  50.32   719  220 
1 1250 245.87  50.16   536  194 
1 1251 246.14  50.01   901  229 
1 1252 246.40  49.85   870  227 
1 1253 246.67  49.70   749  210 
1 1254 246.93  49.54  1565  545 
1 1255 247.19  49.39  1143  245 
1 1256 247.46  49.22  1385  258 
1 1257 247.70  49.06   901  224 
1 1258 247.96  48.90   749  214 
1 1259 248.21  48.74   840  216 
1 1260 248.47  48.59  1112  245 
1 1261 248.72  48.43  1172  239 
1 1262 248.98  48.26  1264  529 
1 1263 249.22  48.10   536  200 
1 1264 249.47  47.94   930  231 
1 1265 249.71  47.78  1110  249 
1 1266 249.96  47.62   870  222 
1 1267 250.20  47.45   778  212 
1 1268 250.45  47.28  1082  247 
1 1269 250.69  47.12   598  208 
1 1270 250.92  46.96   626  206 
1 1271 251.16  46.79   868  218 
1 1272 251.39  46.63  1020  237 
1 1273 251.64  46.45  1172  243 
1 1274 251.86  46.28  1383  256 
1 1275 252.09  46.12  1717  289 
1 1276 252.31  45.95   809  222 
1 1277 252.54  45.78   868  227 
1 1278 252.77  45.61   325  177 
1 1279 253.00  45.44   989  235 
1 1280 253.22  45.27   778  216 
1 1281 253.45  45.10   930  231 
1 1282 253.67  44.93   506  196 
1 1283 253.88  44.76  1535  539 
1 1284 254.10  44.59   506  192 
1 1285 254.33  44.41   989  227 
1 1286 254.54  44.24   446  188 
1 1287 254.76  44.07   809  231 
1 1288 254.97  43.90   688  210 
1 1289 255.18  43.73   959  237 
1 1290 255.39  43.56  1020  237 
1 1291 255.60  43.37   989  231 
1 1292 255.81  43.20   959  224 
1 1293 256.01  43.02  1172  256 
1 1294 256.22  42.85   989  227 
1 1295 256.42  42.67   989  231 
1 1296 256.63  42.50   747  214 
1 1297 256.84  42.32   596  198 
1 1298 257.24  41.96   747  210 
1 1299 257.44  41.79  1172  249 
1 1300 257.63  41.61   778  224 
1 1301 257.83  41.43   899  316 
1 1302 258.03  41.25   930  227 
1 1303 258.23  41.07   657  208 
1 1304 258.42  40.89   626  206 
1 1305 258.61  40.72   596  198 
1 1306 258.98  40.35   899  220 
1 1307 259.18  40.17  1291  262 
1 1308 259.37  39.99   747  210 
1 1309 259.56  39.81   686  206 
1 1310 259.74  39.63  1141  237 
1 1311 259.93  39.45  1020  237 
1 1312 260.11  39.27  1172  241 
1 1313 260.30  39.08  1262  269 
1 1314 260.48  38.90  1141  247 
1 1315 260.67  38.71  1051  231 
1 1316 260.85  38.53  1200  260 
1 1317 261.03  38.35   688  206 
1 1318 261.20  38.17   930  227 
1 1319 261.39  37.98  1473  269 
1 1320 261.56  37.79  1141  241 
1 1321 261.73  37.61   838  216 
1 1322 261.91  37.42  1231  241 
1 1323 262.08  37.24  1020  241 
1 1324 262.26  37.05  1535  285 
1 1325 262.44  36.86  1020  245 
2    1 244.50  45.42   510  397 
2    2 245.47  44.81   930  427 
2    3 245.72  44.65   340  386 
2    4 245.95  44.49  1542  457 
2    5 246.19  44.34   136  386 
2    6 246.43  44.18  1104  442 
2    7 246.67  44.03  1538  537 
2    8 246.90  43.86  1028  431 
2    9 247.14  43.70   612  454 
2   10 247.37  43.55  1017  435 
2   11 247.60  43.39  1538  457 
2   12 247.84  43.23  1349  450 
2   13 248.07  43.06  1002  427 
2   14 248.29  42.90  1380  510 
2   15 248.52  42.75   488  393 
2   16 248.96  42.42   873  408 
2   17 249.20  42.25   427  404 
2   18 249.42  42.09   794  416 
2   19 249.64  41.93   140  363 
2   20 249.85  41.77   907  412 
2   21 250.07  41.60  1266  442 
2   22 250.30  41.44   533  412 
2   23 250.52  41.27   541  412 
2   24 250.72  41.10   949  476 
2   25 250.94  40.94    95  370 
2   26 251.15  40.78   654  442 
2   27 251.38  40.61   310  408 
2   28 251.58  40.43  1470  442 
2   29 251.79  40.27   295  382 
2   30 252.21  39.94  1686  510 
2   31 252.41  39.76   850  408 
2   32 252.62  39.59  1119  446 
2   33 252.83  39.43   858  420 
2   34 253.03  39.26   537  389 
2   35 253.23  39.09   635  412 
2   36 253.44  38.91   726  408 
2   37 253.84  38.58    23  363 
2   38 254.03  38.40   998  423 
2   39 254.23  38.23   752  420 
2   40 254.44  38.06  1077  438 
2   41 254.63  37.89   287  378 
2   42 254.82  37.71   336  389 
2   43 255.02  37.54   703  420 
2   44 255.21  37.37   888  416 
2   45 255.41  37.19  1788  469 
2   46 255.79  36.84   809  416 
2   47 255.98  36.67   885  427 
2   48 256.17  36.50  1357  450 
2   49 256.36  36.31   514  397 
2   50 256.55  36.14  1463  465 
2   51 256.73  35.97   533  397 
2   52 256.91  35.79  1259  435 
2   53 257.10  35.61  1021  431 
2   54 257.29  35.43   885  423 
2   55 257.47  35.26  1164  427 
2   56 257.65  35.08  1183  431 
2   57 257.83  34.90  1323  454 
2   58 258.01  34.73   869  420 
2   59 258.20  34.54  1777  476 
2   60 258.37  34.36  1871  469 
2   61 258.55  34.19   662  404 
2   62 258.73  34.01   688  401 
2   63 258.91  33.83   703  416 
2   64 259.09  33.64   790  408 
2   65 259.26  33.47  1520  454 
2   66 259.44  33.29   835  412 
2   67 259.61  33.11  1319  442 
2   68 259.78  32.93   420  382 
2   69 259.96  32.74  1183  427 
2   70 260.14  32.57  1440  465 
2   71 260.30  32.38  1610  454 
2   72 260.47  32.20  1523  450 
